year,module,student,programme,science,grade,mark,perc,first
2013,SPS9D4,2017347/1,Bachelor of Arts with Honours in Marketing and Sports Studies,0,2B,14,70,1
2013,SPS9C5,1912204/1,Bachelor of Arts with Honours in Psychology and Sports Studies,0,2B,14,70,1
2013,SPS9C5,1921319/1,Bachelor of Arts with Honours in Psychology and Sports Studies,0,2B,14,70,1
2013,SPS9C5,1911557/1,Bachelor of Arts with Honours in Psychology and Sports Studies,0,2B,14,70,1
2012,SPS9D8,1718087/1,Bachelor of Arts with Honours in Psychology and Sports Studies,0,2B,14,70,1
2013,SPS9D8,1812838/1,Bachelor of Arts with Honours in Psychology and Sports Studies,0,2B,14,70,1
2014,SPS9D8,1926973/1,Bachelor of Arts with Honours in Psychology and Sports Studies,0,2B,14,70,1
2014,SPS9D8,1814530/1,Bachelor of Arts with Honours in Psychology and Sports Studies,0,2B,14,70,1
2011,SPS9D8,1615207/1,Bachelor of Arts with Honours in Sociology and Sports Studies,0,2B,14,70,1
2014,SPS9D8,1912253/1,Bachelor of Arts with Honours in Sociology and Sports Studies,0,2B,14,70,1
2014,SPS9D4,2119679/1,Bachelor of Arts with Honours in Sports Studies,0,2B,14,70,1
2013,SPS9D4,2122171/1,Bachelor of Arts with Honours in Sports Studies,0,2B,14,70,1
2013,SPS9D4,1928007/2,Bachelor of Arts with Honours in Sports Studies,0,2B,14,70,1
2012,SPS9C5,2018394/1,Bachelor of Arts with Honours in Sports Studies,0,2B,14,70,1
2011,SPS9D6,1717535/1,Bachelor of Arts with Honours in Sports Studies,0,2B,14,70,1
2011,SPS9D6,1714638/1,Bachelor of Arts with Honours in Sports Studies,0,2B,14,70,1
2013,SPS9D6,1916770/1,Bachelor of Arts with Honours in Sports Studies,0,2B,14,70,1
2014,SPS9D6,1814509/1,Bachelor of Arts with Honours in Sports Studies,0,2B,14,70,1
2014,SPS9D6,1921362/1,Bachelor of Arts with Honours in Sports Studies,0,2B,14,70,1
2011,SPS9D8,1718446/1,Bachelor of Arts with Honours in Sports Studies,0,2B,14,70,1
2012,SPS9D8,1712568/1,Bachelor of Arts with Honours in Sports Studies,0,2B,14,70,1
2012,SPS9D8,1716906/1,Bachelor of Arts with Honours in Sports Studies,0,2B,14,70,1
2012,SPS9D8,1714088/1,Bachelor of Arts with Honours in Sports Studies,0,2B,14,70,1
2012,SPS9D8,1717159/1,Bachelor of Arts with Honours in Sports Studies,0,2B,14,70,1
2012,SPS9D8,1612912/1,Bachelor of Arts with Honours in Sports Studies,0,2B,14,70,1
2012,SPS9D8,1213060/1,Bachelor of Arts with Honours in Sports Studies,0,2B,14,70,1
2012,SPS9D8,1713464/1,Bachelor of Arts with Honours in Sports Studies,0,2B,14,70,1
2012,SPS9D8,1725545/1,Bachelor of Arts with Honours in Sports Studies,0,2B,14,70,1
2013,SPS9D8,1815207/1,Bachelor of Arts with Honours in Sports Studies,0,2B,14,70,1
2013,SPS9D8,1821602/1,Bachelor of Arts with Honours in Sports Studies,0,2B,14,70,1
2013,SPS9D8,1314448/1,Bachelor of Arts with Honours in Sports Studies,0,2B,14,70,1
2014,SPS9D8,2018394/1,Bachelor of Arts with Honours in Sports Studies,0,2B,14,70,1
2014,SPS9D8,1913129/1,Bachelor of Arts with Honours in Sports Studies,0,2B,14,70,1
2014,SPS9D8,2019514/1,Bachelor of Arts with Honours in Sports Studies,0,2B,14,70,1
2014,SPS9D8,1919784/1,Bachelor of Arts with Honours in Sports Studies,0,2B,14,70,1
2014,SPS9D8,1913445/1,Bachelor of Arts with Honours in Sports Studies,0,2B,14,70,1
2014,SPS9D8,1912450/1,Bachelor of Arts with Honours in Sports Studies,0,2B,14,70,1
2010,SPS915,1718628/1,Bachelor of Arts with Honours in Sports Studies and Tourism Management,0,2B,14,70,1
2014,SPS9D6,2017409/1,General Degree of Bachelor of Arts (main subject: Sports Studies),0,2B,14,70,1
2012,SPS9D6,1816896/1,General Degree of Bachelor of Science (main subject: Biology),0,2B,14,70,1
2012,SPS9D6,1811339/1,General Degree of Bachelor of Science (main subject: Biology),0,2B,14,70,1
2012,SPS9D6,1815877/1,General Degree of Bachelor of Science (main subject: Biology),0,2B,14,70,1
2013,SPS915,2230881/1,Institutional Credit Non Graduating Study Abroad - Science Without Borders,0,2B,14,70,1
2010,SPS9C5,1925649/1,Institutional Credit Non-graduating UG Reciprocal Exchange Student,0,2B,14,70,1
2014,SPS9D4,2116749/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2B,14,70,1
2014,SPS9D4,2122085/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2B,14,70,1
2014,SPS9D4,2115093/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2B,14,70,1
2014,SPS9D4,2114716/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2B,14,70,1
2014,SPS9D4,2116647/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2B,14,70,1
2014,SPS9D4,2119697/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2B,14,70,1
2013,SPS9D4,1910531/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2B,14,70,1
2013,SPS9D4,1912178/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2B,14,70,1
2013,SPS9D4,1915843/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2B,14,70,1
2011,SPS915,1817918/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2B,14,70,1
2013,SPS915,2017620/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2B,14,70,1
2013,SPS915,2013588/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2B,14,70,1
2010,SPS9C5,1715065/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2B,14,70,1
2010,SPS9C5,1710992/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2B,14,70,1
2011,SPS9C5,1817918/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2B,14,70,1
2012,SPS9C5,1912218/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2B,14,70,1
2012,SPS9C5,1913814/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2B,14,70,1
2012,SPS9C5,1818229/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2B,14,70,1
2013,SPS9C5,1912178/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2B,14,70,1
2013,SPS9C5,2012191/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2B,14,70,1
2011,SPS9D6,1622670/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2B,14,70,1
2011,SPS9D6,1210599/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2B,14,70,1
2012,SPS9D6,1816330/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2B,14,70,1
2012,SPS9D6,1810323/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2B,14,70,1
2013,SPS9D6,1918393/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2B,14,70,1
2013,SPS9D6,1913716/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2B,14,70,1
2013,SPS9D6,1818246/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2B,14,70,1
2014,SPS9D6,1915843/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2B,14,70,1
2014,SPS9D6,2011411/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2B,14,70,1
2011,SPS9D8,1610519/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2B,14,70,1
2012,SPS9D8,1712315/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2B,14,70,1
2013,SPS9D8,1810817/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2B,14,70,1
2014,SPS9D8,1919311/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2B,14,70,1
2014,SPS9D8,1918099/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2B,14,70,1
2014,SPS9D8,1915850/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2B,14,70,1
2014,SPS9D8,1912429/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2B,14,70,1
2013,SPS915,2021394/1,Bachelor of Arts in Sports Studies,0,2C,13,65,0
2011,SPS9D6,1716214/1,Bachelor of Arts in Sports Studies,0,2C,13,65,0
2013,SPS9D6,1914427/1,Bachelor of Arts in Sports Studies,0,2C,13,65,0
2014,SPS9D6,2018219/1,Bachelor of Arts in Sports Studies,0,2C,13,65,0
2014,SPS9D6,2014234/1,Bachelor of Arts in Sports Studies,0,2C,13,65,0
2013,SPS9D8,1820876/1,Bachelor of Arts with Honours in Business Studies and Sports Studies,0,2C,13,65,0
2014,SPS9D8,1714725/1,Bachelor of Arts with Honours in History and Sports Studies,0,2C,13,65,0
2013,SPS9D8,1815991/1,Bachelor of Arts with Honours in Journalism Studies and Sports Studies,0,2C,13,65,0
2014,SPS9D8,1913461/1,Bachelor of Arts with Honours in Journalism Studies and Sports Studies,0,2C,13,65,0
2014,SPS9D8,1914667/1,Bachelor of Arts with Honours in Journalism Studies and Sports Studies,0,2C,13,65,0
2011,SPS9D8,1614893/1,Bachelor of Arts with Honours in Law and Sports Studies,0,2C,13,65,0
2013,SPS9C5,2017347/1,Bachelor of Arts with Honours in Marketing and Sports Studies,0,2C,13,65,0
2014,SPS9D8,1811010/1,Bachelor of Arts with Honours in Marketing and Sports Studies,0,2C,13,65,0
2012,SPS9C5,1912292/1,Bachelor of Arts with Honours in Psychology and Sports Studies,0,2C,13,65,0
2011,SPS9D8,1611720/1,Bachelor of Arts with Honours in Psychology and Sports Studies,0,2C,13,65,0
2012,SPS9D8,1724305/1,Bachelor of Arts with Honours in Psychology and Sports Studies,0,2C,13,65,0
2013,SPS9D8,1822244/1,Bachelor of Arts with Honours in Psychology and Sports Studies,0,2C,13,65,0
2013,SPS9D8,1816360/1,Bachelor of Arts with Honours in Psychology and Sports Studies,0,2C,13,65,0
2014,SPS9D8,1916753/1,Bachelor of Arts with Honours in Psychology and Sports Studies,0,2C,13,65,0
2014,SPS9D4,2112777/1,Bachelor of Arts with Honours in Sports Studies,0,2C,13,65,0
2014,SPS9D4,2114923/1,Bachelor of Arts with Honours in Sports Studies,0,2C,13,65,0
2014,SPS9D4,1918619/2,Bachelor of Arts with Honours in Sports Studies,0,2C,13,65,0
2014,SPS9D4,2117215/1,Bachelor of Arts with Honours in Sports Studies,0,2C,13,65,0
2013,SPS9D4,2016296/1,Bachelor of Arts with Honours in Sports Studies,0,2C,13,65,0
2013,SPS9D4,1814509/1,Bachelor of Arts with Honours in Sports Studies,0,2C,13,65,0
2012,SPS9C5,1913799/1,Bachelor of Arts with Honours in Sports Studies,0,2C,13,65,0
2013,SPS9C5,2122171/1,Bachelor of Arts with Honours in Sports Studies,0,2C,13,65,0
2013,SPS9C5,1814509/1,Bachelor of Arts with Honours in Sports Studies,0,2C,13,65,0
2011,SPS9D6,1813965/1,Bachelor of Arts with Honours in Sports Studies,0,2C,13,65,0
2014,SPS9D6,1912191/1,Bachelor of Arts with Honours in Sports Studies,0,2C,13,65,0
2011,SPS9D8,1613970/1,Bachelor of Arts with Honours in Sports Studies,0,2C,13,65,0
